index,nameModel,trial_optimizacion_bayesiana,Step_validacion,time,MSE,RMSE,MAE,MAPE
0,LSTM_Wallmart_1_1_800_90.0_2.0_192.0_0.53_adam_2.1496108067270036e-05,1,1,69.06482982635498,0.6190115809440613,0.7867729067802429,0.5491154789924622,272.99346923828125
1,LSTM_Wallmart_1_2_800_90.0_2.0_192.0_0.53_adam_2.1496108067270036e-05,1,2,85.04157543182373,0.2233075350522995,0.4725542664527893,0.3446694612503052,157.74819946289062
2,LSTM_Wallmart_1_3_800_90.0_2.0_192.0_0.53_adam_2.1496108067270036e-05,1,3,73.47285676002502,0.30729028582572937,0.5543376803398132,0.3820013701915741,202.48292541503906
3,LSTM_Wallmart_1_4_800_90.0_2.0_192.0_0.53_adam_2.1496108067270036e-05,1,4,88.35195994377136,0.07318814843893051,0.27053308486938477,0.18974919617176056,96.76702880859375
4,LSTM_Wallmart_1_5_800_90.0_2.0_192.0_0.53_adam_2.1496108067270036e-05,1,5,46.226808071136475,0.10726252943277359,0.3275095820426941,0.23669520020484924,116.48573303222656
5,LSTM_Wallmart_2_1_800_50.0_2.0_448.0_0.58_adam_2.6209675926019026e-05,2,1,74.77430009841919,0.47982650995254517,0.6926950812339783,0.4899676740169525,314.66729736328125
6,LSTM_Wallmart_2_2_800_50.0_2.0_448.0_0.58_adam_2.6209675926019026e-05,2,2,116.96630835533142,0.15042029321193695,0.38784053921699524,0.29201069474220276,167.75869750976562
7,LSTM_Wallmart_2_3_800_50.0_2.0_448.0_0.58_adam_2.6209675926019026e-05,2,3,39.85698437690735,0.1533179134130478,0.39155831933021545,0.2970239222049713,169.11505126953125
8,LSTM_Wallmart_2_4_800_50.0_2.0_448.0_0.58_adam_2.6209675926019026e-05,2,4,118.4632043838501,0.054865460842847824,0.2342337667942047,0.15703554451465607,89.16437530517578
9,LSTM_Wallmart_2_5_800_50.0_2.0_448.0_0.58_adam_2.6209675926019026e-05,2,5,28.23062038421631,0.12327505648136139,0.3511054813861847,0.24997766315937042,96.1782455444336
10,LSTM_Wallmart_3_1_800_70.0_3.0_320.0_0.41_adam_4.473317532561341e-05,3,1,82.86460185050964,0.3742109537124634,0.6117278337478638,0.4081304967403412,280.4119567871094
11,LSTM_Wallmart_3_2_800_70.0_3.0_320.0_0.41_adam_4.473317532561341e-05,3,2,60.383944272994995,0.2350795418024063,0.4848500192165375,0.3548101484775543,172.89039611816406
12,LSTM_Wallmart_3_3_800_70.0_3.0_320.0_0.41_adam_4.473317532561341e-05,3,3,32.23528504371643,0.244756817817688,0.49472904205322266,0.37292611598968506,181.18968200683594
13,LSTM_Wallmart_3_4_800_70.0_3.0_320.0_0.41_adam_4.473317532561341e-05,3,4,75.0833249092102,0.06133589893579483,0.24766086041927338,0.15852117538452148,82.34481048583984
14,LSTM_Wallmart_3_5_800_70.0_3.0_320.0_0.41_adam_4.473317532561341e-05,3,5,46.10583519935608,0.05198892205953598,0.22801078855991364,0.16452181339263916,86.43466186523438
15,LSTM_Wallmart_4_1_800_30.0_3.0_320.0_0.61_adam_2.5673023845988833e-05,4,1,56.439871072769165,0.3911210298538208,0.6253966689109802,0.43719276785850525,239.4783477783203
16,LSTM_Wallmart_4_2_800_30.0_3.0_320.0_0.61_adam_2.5673023845988833e-05,4,2,149.8179030418396,0.14763683080673218,0.3842353820800781,0.2760988473892212,128.7334442138672
17,LSTM_Wallmart_4_3_800_30.0_3.0_320.0_0.61_adam_2.5673023845988833e-05,4,3,158.30704069137573,0.29671919345855713,0.544719398021698,0.3332964777946472,154.89854431152344
18,LSTM_Wallmart_4_4_800_30.0_3.0_320.0_0.61_adam_2.5673023845988833e-05,4,4,221.37668919563293,0.053355976939201355,0.23098912835121155,0.15696659684181213,87.42919921875
19,LSTM_Wallmart_4_5_800_30.0_3.0_320.0_0.61_adam_2.5673023845988833e-05,4,5,147.54617142677307,0.05007204785943031,0.22376784682273865,0.15740670263767242,77.02306365966797
20,LSTM_Wallmart_5_1_800_20.0_2.0_128.0_0.54_adam_2.6381676960663386e-05,5,1,152.96202158927917,0.3004985749721527,0.5481774806976318,0.3654422163963318,167.37124633789062
21,LSTM_Wallmart_5_2_800_20.0_2.0_128.0_0.54_adam_2.6381676960663386e-05,5,2,226.81579637527466,0.21112583577632904,0.4594843089580536,0.330389142036438,139.0272216796875
22,LSTM_Wallmart_5_3_800_20.0_2.0_128.0_0.54_adam_2.6381676960663386e-05,5,3,307.8738124370575,0.15435628592967987,0.39288201928138733,0.25090858340263367,118.82603454589844
23,LSTM_Wallmart_5_4_800_20.0_2.0_128.0_0.54_adam_2.6381676960663386e-05,5,4,231.497953414917,0.08193626254796982,0.28624510765075684,0.19221994280815125,92.74623107910156
24,LSTM_Wallmart_5_5_800_20.0_2.0_128.0_0.54_adam_2.6381676960663386e-05,5,5,223.93550157546997,0.05067218467593193,0.22510482370853424,0.15815772116184235,76.08654022216797
25,LSTM_Wallmart_6_1_800_20.0_3.0_128.0_0.51_adam_3.658662631373418e-05,6,1,12.705401420593262,0.8223053812980652,0.9068105220794678,0.6715747117996216,101.80472564697266
26,LSTM_Wallmart_6_2_800_20.0_3.0_128.0_0.51_adam_3.658662631373418e-05,6,2,164.01674723625183,0.13432912528514862,0.3665093779563904,0.2623003423213959,126.816162109375
27,LSTM_Wallmart_6_3_800_20.0_3.0_128.0_0.51_adam_3.658662631373418e-05,6,3,352.34740447998047,0.08236271142959595,0.2869890332221985,0.18502220511436462,87.92732238769531
28,LSTM_Wallmart_6_4_800_20.0_3.0_128.0_0.51_adam_3.658662631373418e-05,6,4,211.81820344924927,0.06309808790683746,0.2511933147907257,0.17153023183345795,82.94725036621094
29,LSTM_Wallmart_6_5_800_20.0_3.0_128.0_0.51_adam_3.658662631373418e-05,6,5,185.9560432434082,0.04456070810556412,0.21109406650066376,0.15378046035766602,72.75305938720703
30,LSTM_Wallmart_7_1_800_50.0_2.0_128.0_0.55_adam_3.2249303347606646e-05,7,1,79.53051781654358,0.30843454599380493,0.5553688406944275,0.42508620023727417,257.2276306152344
31,LSTM_Wallmart_7_2_800_50.0_2.0_128.0_0.55_adam_3.2249303347606646e-05,7,2,114.70347356796265,0.23914839327335358,0.4890280067920685,0.32718855142593384,115.93243408203125
